Entity_1,Entity_2,Relation,Mode,Evidence_PMID,Evidence_Sents,Confirmation_without_context,Confirmation_with_context
HCPT,angiogenesis,neg,direct,25724440,"Topical application of HCPT could reduce intra-articular scar adhesion in rabbits, but HCPT with concentrations above 1.0Â mg/ml may affect the wound healing process by inhibiting the angiogenesis and fibroblast proliferation.",True - HCPT (Hydroxycamptothecin) has been shown to reduce angiogenesis.,Statement: True. HCPT is reported to inhibit the angiogenesis at concentrations above 1.0 mg/ml.
collagen peptide,wound angiogenesis,pos,direct,31967468,"Altogether, these studies show that collagen peptide could upregulate wound NOD2 and BD14, which were implicated in microflora colonization regulation in the wound tissue and promoted wound healing by controlling the inflammatory reaction and increasing wound angiogenesis and collagen deposition.",True - Collagen peptide could potentially promote wound angiogenesis.,Statement: True. Collagen peptide is described as promoting wound angiogenesis.
expression of Hif-1alpha,angiogenesis,pos,direct,17971009,Sustained expression of Hif-1alpha in the diabetic environment promotes angiogenesis and cutaneous wound repair.,True - The expression of Hif-1alpha is known to promote angiogenesis.,Statement: True. Sustained expression of Hif-1alpha is described as promoting angiogenesis and cutaneous wound repair.
VEGF,angiogenesis,pos,direct,19551437,VEGF induces physiologic and pathologic angiogenesis by binding to endothelial cell  bound VEGF-Receptor-1  and VEGFR2.,True - VEGF (Vascular Endothelial Growth Factor) is a potent promoter of angiogenesis.,Statement: True. VEGF is well-known to induce angiogenesis.
Thromboxane A2,angiogenesis,pos,direct,34655121,Thromboxane A2  not only induces platelet activity but also angiogenesis.,Unknown - The role of Thromboxane A2 in promoting angiogenesis is not well established.,True: The context supports that Thromboxane A2 promotes angiogenesis.
AcSDKP,angiogenesis,pos,direct,16808809,These data provide experimental evidence that AcSDKP can improve the viability of ischemic skin flaps in the rat by promoting angiogenesis.,True - AcSDKP (N-acetyl-seryl-aspartyl-lysyl-proline) has been shown to promote angiogenesis.,Statement: True. AcSDKP is reported to improve the viability of ischemic skin flaps by promoting angiogenesis.
Adrenomedullin,lung angiogenesis,pos,direct,19738161,"Adrenomedullin promotes lung angiogenesis, alveolar development, and repair.",True - Adrenomedullin has been shown to promote lung angiogenesis.,Statement: True. Adrenomedullin is reported to promote lung angiogenesis.
Adrenomedullin,angiogenesis,pos,direct,19738161,"Adrenomedullin , a recently discovered potent vasodilator, promotes angiogenesis and has protective effects on the cardiovascular and respiratory system.",True - Adrenomedullin has been shown to promote angiogenesis.,"Statement: True. Adrenomedullin, a potent vasodilator, promotes angiogenesis."
AM,lung angiogenesis,pos,direct,19738161,We hypothesized that AM promotes lung angiogenesis and alveolar development.,True - AM (likely referring to Adrenomedullin) has been shown to promote lung angiogenesis.,"Statement: True. The abbreviation ""AM"" refers to Adrenomedullin, which promotes lung angiogenesis."
PPARÎ´ ligand L-165041,VEGF-induced angiogenesis,neg,direct,22234939,"The PPARÎ´ ligand L-165041 inhibits VEGF-induced angiogenesis, but the antiangiogenic effect is not related to PPARÎ´.",True - PPARδ ligand L-165041 has been shown to reduce VEGF-induced angiogenesis.,"Statement: True. L-165041, a PPARÎ´ ligand, reduces VEGF-induced angiogenesis."
L-165041,angiogenesis,neg,direct,22234939,L-165041 also inhibited angiogenesis in the Matrigel plug assay and aortic ring assay.,True - L-165041 has been shown to reduce angiogenesis.,Statement: True. L-165041 reduces angiogenesis.
GW501516 treatment,VEGF-induced angiogenesis,neg,direct,22234939,"GW501516 treatment did not inhibit VEGF-induced angiogenesis, and transfection of PPARÎ´ siRNA did not reverse this antiangiogenic effect of L-165041, suggesting that the antiangiogenic effect of L-165041 on ECs is PPARÎ´-independent.",True - GW501516 treatment has been shown to reduce VEGF-induced angiogenesis.,Statement: False. The context indicates that GW501516 treatment did not inhibit VEGF-induced angiogenesis.
MALAT1,angiogenesis,pos,inferred,35822640,"MALAT1 silencing in human ADSCs inhibited HSF viability and migration, promoted HSF apoptosisÂ and inhibited angiogenesis by upregulating miR-378a.",True - MALAT1 (Metastasis Associated Lung Adenocarcinoma Transcript 1) has been shown to promote angiogenesis.,"Statement: True. The silencing of MALAT1 inhibited angiogenesis, suggesting that MALAT1 promotes angiogenesis."
EPC therapy,angiogenesis,pos,direct,24464097,Our previous studies have shown that local EPC therapy significantly increased angiogenesis and osteogenesis to promote fracture healing in an animal bone defect model.,True - EPC (Endothelial Progenitor Cell) therapy can promote angiogenesis.,Statement: True. EPC therapy promotes angiogenesis.
HMGB1 blockade,lymphangiogenesis,neg,direct,21248077,"Finally, HMGB1 blockade significantly reduced inflammatory lymphangiogenesis within inflamed draining lymph nodes .",True - HMGB1 (High Mobility Group Box 1) blockade has been shown to reduce lymphangiogenesis.,Statement: True. HMGB1 blockade reduces lymphangiogenesis.
hydrogel,stimulating angiogenesis,neg,direct,36623628,"In vivo, this hydrogel accelerated the wound regeneration process by reducing bacterial burden, increasing collagen deposition, stimulating angiogenesis, promoting macrophage polarization to M2 direction, and shifting the balance of T helper type 17  cells towards anti-inflammatory regulatory T  cells.",False - Hydrogel can be used to deliver growth factors or cells that promote angiogenesis.,"False: The context supports that the hydrogel promotes, not reduces, angiogenesis."
anacardic acids,angiogenesis,pos,direct,35461988,"In addition, the anacardic acids showed antimicrobial effects and both metabolites promote angiogenesis, suggesting that these effects may be related to their action mechanism.",Unknown - The role of anacardic acids in promoting angiogenesis is not well established.,True: The context supports that anacardic acids promote angiogenesis.
Tryptanthrin,angiogenesis,neg,direct,24358167,Tryptanthrin inhibits angiogenesis by targeting the VEGFR2-mediated ERK1/2 signalling pathway.,True - Tryptanthrin has been shown to reduce angiogenesis.,Statement: True. Tryptanthrin inhibits angiogenesis.
tryptanthrin,angiogenesis,neg,direct,24358167,"Our results show that tryptanthrin inhibited the in vitro proliferation, migration, and tube formation of the human microvascular endothelial cells  in a concentration-dependent manner and significantly suppressed angiogenesis in Matrigel plugs in mice.",True - Tryptanthrin has been shown to reduce angiogenesis.,Statement: True. Tryptanthrin inhibits angiogenesis.
Farrerol,angiogenesis,neg,direct,27235707,"Farrerol inhibited angiogenesis through Akt/mTOR, Erk and Jak2/Stat3 signal pathway.",True - Farrerol has been shown to reduce angiogenesis.,Statement: True. Farrerol inhibits angiogenesis.
Farrerol,angiogenesis,neg,direct,27235707,"CONCLUSIONS: In this study, we demonstrated that Farrerol inhibited angiogenesis through down regulation of Akt/mTOR, Erk and Jak2/Stat3 signal pathway.",True - Farrerol has been shown to reduce angiogenesis.,Statement: True. Farrerol inhibits angiogenesis.
PLGA,angiogenesis,pos,direct,22660894,PLGA promoted angiogenesis and accelerated the closure of excisional skin wounds in different mouse strains.,"True - PLGA (Poly(lactic-co-glycolic acid)) can be used as a scaffold for growth factors or cells, promoting angiogenesis.",Statement: True. PLGA promotes angiogenesis.
cytokine-1,angiogenesis,pos,direct,33151561,Macrophage inhibitory cytokine-1 promotes angiogenesis by eliciting the GFRAL-mediated endothelial cell signaling.,Unknown - The role of cytokine-1 in promoting angiogenesis is not well established.,True: The context supports that cytokine-1 promotes angiogenesis.
PARP,angiogenesis,neg,inferred,27288104,PARP inhibition promoted angiogenesis at the ischemic and diabetic wound beds as evidenced by significantly higher levels of endothelial cell markers  in mice treated with PJ34 compared with controls.,True - PARP (Poly ADP ribose polymerase) inhibitors have been shown to reduce angiogenesis.,"Statement: False. The context shows that PARP inhibition promotes angiogenesis, not reduces it."
PARP,angiogenesis,neg,inferred,27288104,"CONCLUSIONS: Delayed healing in ischemic and diabetic wounds is caused by PARP hyperactivity, and PARP inhibition significantly enhanced ischemic and diabetic wound healing by promoting angiogenesis.",True - PARP (Poly ADP ribose polymerase) inhibitors have been shown to reduce angiogenesis.,Statement: False. PARP inhibition promotes angiogenesis according to the context.
Growth differentiation factor 10,angiogenesis,pos,direct,36714584,Growth differentiation factor 10 induces angiogenesis to promote wound healing in rats with diabetic foot ulcers by activating TGF-Î²1/Smad3 signaling pathway.,True - Growth differentiation factor 10 has been shown to promote angiogenesis.,Statement: True. Growth differentiation factor 10 promotes angiogenesis.
GDF-10,angiogenesis,pos,direct,36714584,"Conclusions: Our findings highlight that GDF-10 may promote angiogenesis by activating TGF-Î²1/Smad3 signaling, thereby promoting wound healing in DFU rats.",True - GDF-10 (Growth Differentiation Factor 10) promotes angiogenesis.,Statement: True. GDF-10 promotes angiogenesis.
GDF-10,angiogenesis,pos,direct,36714584,"Specifically, GDF-10 exerted a significant diminishing effect on fasting blood glucose level, and promoted wound healing in DFU rats, in addition to up-regulation of VEGF, FGF, Ang-1, TGF-Î²1, Smad3 and enhancement of IL-1b, IL-6, TNF-a and MMP-9, thereby promoting fibroblast proliferation, collagen deposition and angiogenesis.",True - GDF-10 (Growth Differentiation Factor 10) promotes angiogenesis.,Statement: True. GDF-10 promotes angiogenesis.
total plant extract,angiogenesis,neg,direct,29484402,"The total plant extract increased wound healing by inhibiting the inflammatory response, promoting angiogenesis, and significantly promoting the proliferation of fibroblasts, particularly on daysÂ 7 and 14 postâwounding.",Unknown - The effect of a total plant extract on angiogenesis would depend on the specific plant and its constituent compounds.,"False: The context supports that the total plant extract promotes, not reduces, angiogenesis."
hydrogel,angiogenesis,pos,direct,32561307,"The injectable BA-loaded hydrogel significantly accelerated the wound healing process in a full-thickness skin wound model in rats, promoted epithelial and tissue regeneration, exerted antiinflammatory effects, and promoted collagen deposition and angiogenesis.",False - Hydrogel can be used to deliver growth factors or cells that promote angiogenesis.,True: The context supports that the hydrogel promotes angiogenesis.
Hyaluronan oligosaccharides,angiogenesis,pos,direct,18544273,"In the in vitro model, the lesion area was nearly completely recovered when the EC layer was exposed to o-HA 40hrs post-injury, whereas the wound area remained half recovered pretreated with native undegraded large HA and control medium.. CONCLUSION: Hyaluronan oligosaccharides may play a role in wound healing by increasing angiogenesis.",True - Hyaluronan oligosaccharides have been shown to promote angiogenesis.,Statement: True. Hyaluronan oligosaccharides may play a role in wound healing by increasing angiogenesis.
PAQR3,angiogenesis,neg,inferred,36775352,"Therefore, these findings demonstrates that PAQR3 silencing accelerates diabetic wound healing by promoting M2 macrophage polarization and angiogenesis, which is mediated by the inhibition of STUB1-mediated PPARÎ³ protein ubiquitination and degradation.",Unknown - The role of PAQR3 (Progestin and AdipoQ Receptor Family Member III) in reducing angiogenesis is not well established.,"False: The context supports that PAQR3 silencing, not PAQR3 itself, promotes angiogenesis."
HOXA3,angiogenesis,pos,direct,15914537,HOXA3 induces cell migration in endothelial and epithelial cells promoting angiogenesis and wound repair.,True - HOXA3 (Homeobox A3) has been shown to promote angiogenesis.,Statement: True. HOXA3 promotes angiogenesis.
HOXA3,angiogenesis,pos,direct,15914537,"Here we show that HOXA3 increases endothelial cell migration, induces angiogenesis in vivo, and leads to increased expression of the matrix metalloproteinase-14  and urokinase-type plasminogen activator receptor  genes in endothelial cells in culture and in vivo in response to injury.",True - HOXA3 (Homeobox A3) has been shown to promote angiogenesis.,Statement: True. HOXA3 promotes angiogenesis.
Indomethacin,angiogenesis,neg,direct,7532364,"Indomethacin significantly delayed ulcer healing in late phase and decreased prostaglandin generation, cell proliferation, angiogenesis, and maturation of granulation tissue.",True - Indomethacin has been shown to reduce angiogenesis.,Statement: True. Indomethacin reduces angiogenesis.
VEGF165-GAM,angiogenesis,pos,direct,16234976,We showed that angiogenesis and osteogenesis can be promoted by a VEGF165-GAM that is an appropriate tool to induce bone healing in atrophic nonunions.,True - VEGF165-GAM (a form of VEGF) promotes angiogenesis.,Statement: True. VEGF165-GAM promotes angiogenesis.
Neutralizing anti-bFGF antibodies,angiogenesis,neg,direct,7686343,Neutralizing anti-bFGF antibodies induced a 40% reduction of angiogenesis.,"True - Neutralizing anti-bFGF antibodies would be expected to reduce angiogenesis, as bFGF promotes angiogenesis.",Statement: True. Neutralizing anti-bFGF antibodies reduce angiogenesis.
SREBP,VEGF-induced angiogenesis,pos,inferred,15271857,SREBP inhibition also markedly suppressed VEGF-induced angiogenesis in chick embryos.,Unknown - The role of SREBP (Sterol Regulatory Element-Binding Protein) in promoting VEGF-induced angiogenesis is not well established.,"False: The context supports that SREBP inhibition reduces VEGF-induced angiogenesis, implying that SREBP promotes it."
TCF8,angiogenesis,neg,inferred,19208835,"Suppression of TCF8 facilitates angiogenesis in both in vitro and ex vivo models, and displays comprehensive cellular phenotypes, including enhanced cell invasion, impaired cell adhesion, and increased cell monolayer permeability due to, at least partly, MMP1 overexpression, attenuation of focal adhesion formation, and insufficient VE-cadherin recruitment, respectively.",Unknown - The role of TCF8 (Transcription Factor 8) in reducing angiogenesis is not well established.,"True: The context supports that TCF8 suppression promotes angiogenesis, implying that TCF8 reduces it."
morphine treatment,angiogenesis,pos,direct,20843508,Our results show that morphine treatment resulted in a significant decrease in inflammation induced angiogenesis.,"Unknown - While morphine treatment can have multiple effects on the body, a specific role in promoting angiogenesis is not well established.","False: The context supports that morphine treatment reduces, not promotes, angiogenesis."
Morphine,angiogenesis,neg,direct,20843508,Morphine acts both directly and indirectly in suppressing angiogenesis.,True - Morphine has been shown to reduce angiogenesis in several studies.,Statement: True. Morphine suppresses angiogenesis.
EGFL7,angiogenesis,pos,direct,24909139,"Moreover, recombinant EGFL7 promotes angiogenesis featuring web-like structures in ex vivo fetal mouse metatarsal angiogenesis assay.",True - EGFL7 (Epidermal Growth Factor-Like Domain 7) has been reported to promote angiogenesis.,Statement: True. EGFL7 promotes angiogenesis.
epithelium-derived factor  ,angiogenesis,neg,direct,20857208,Recent studies have shown that pigment epithelium-derived factor  can induce differentiation and inhibit angiogenesis of tumors.,True - Pigment Epithelium-Derived Factor (PEDF) is known to be anti-angiogenic.,Statement: True. Pigment epithelium-derived factor inhibits angiogenesis.
Radix Rehmanniae,angiogenesis,pos,direct,19429355,"CONCLUSIONS: Our results demonstrated for the first time that Radix Rehmanniae was effective in promoting diabetic foot ulcer healing in rats through the processes of tissue regeneration, angiogenesis and inflammation control, but not glycemia control.",Unknown - The role of Radix Rehmanniae in angiogenesis is not well established.,True: The context supports that Radix Rehmanniae promotes angiogenesis.
miR-21 modification,angiogenesis genes expression,pos,direct,30179296,In vitro results suggested that miR-21 modification can increase the angiogenesis genes expression of ADSCs and enhance its anti-oxidative effects against reactive oxygen species  damage.,True - miR-21 is known to promote the expression of angiogenesis-related genes.,Statement: True. miR-21 modification can increase the angiogenesis genes expression.
Fibroblast growth factor-2,regulating angiogenesis,pos,direct,25361403,"Fibroblast growth factor-2 promotes healing of surgically created periodontal defects in rats with early, streptozotocin-induced diabetes via increasing cell proliferation and regulating angiogenesis.",True - Fibroblast growth factor-2 (FGF-2) is well known for its role in regulating angiogenesis.,Statement: True. Fibroblast growth factor-2 promotes healing and regulates angiogenesis.
Adenoviral VEGF-A gene transfer,angiogenesis,pos,direct,12825195,Adenoviral VEGF-A gene transfer induces angiogenesis and promotes bone formation in healing osseous tissues.,True - VEGF-A (Vascular Endothelial Growth Factor-A) gene transfer via adenoviral vectors has been shown to promote angiogenesis.,Statement: True. Adenoviral VEGF-A gene transfer promotes angiogenesis.
VEGF,angiogenesis,pos,direct,12825195,"VEGF has an important role in bone repair by promoting angiogenesis and by stimulating major skeletal cell populations, chondrocytes, osteoblasts and osteoclasts.",True - VEGF (Vascular Endothelial Growth Factor) is a key molecule that promotes angiogenesis.,Statement: True. VEGF promotes angiogenesis.
dopamine,angiogenesis,neg,direct,27853962,Enhanced peripheral dopamine impairs post-ischemic healing by suppressing angiotensin receptor type 1 expression in endothelial cells and inhibiting angiogenesis.,"False - Dopamine, under certain conditions, can actually promote angiogenesis.",True: The context supports that dopamine reduces angiogenesis.
sesamin,angiogenesis activities,pos,direct,35631249,Our study indicated that sesamin could activate bone morphogenetic protein 2  signaling pathway and further promotes in vitro chondrogenesis and angiogenesis activities.,True - Sesamin has been shown to promote angiogenic activities.,Statement: True. Sesamin promotes angiogenesis activities.
Antimycotic ciclopirox olamine,angiogenesis,pos,direct,22125629,Antimycotic ciclopirox olamine in the diabetic environment promotes angiogenesis and enhances wound healing.,True - The antifungal drug ciclopirox olamine has been shown to promote angiogenesis.,Statement: True. Antimycotic ciclopirox olamine promotes angiogenesis.
drug ciclopirox olamine,therapeutic angiogenesis,pos,direct,22125629,Here we show that the antimycotic drug ciclopirox olamine  can induce therapeutic angiogenesis in diabetic wounds.,True - Ciclopirox olamine has been shown to promote therapeutic angiogenesis.,Statement: True. Ciclopirox olamine promotes therapeutic angiogenesis.
topical administration of D-glucose,Angiogenesis,neg,direct,10069528,Angiogenesis and granulation tissue formation that occur following subcutaneous implantation of sponge implants in nondiabetic rats were inhibited by topical administration of D-glucose .,Unknown - The effect of topical administration of D-glucose on angiogenesis is not well established.,True: The context supports that topical administration of D-glucose reduces angiogenesis.
L. rhamnosus GG,angiogenesis,pos,direct,17395175,These findings suggested that L. rhamnosus GG enhanced gastric ulcer healing via the attenuation of cell apoptosis to cell proliferation ratio and increase in angiogenesis.,Unknown - The role of Lactobacillus rhamnosus GG in promoting angiogenesis is not well established.,True: The context supports that L. rhamnosus GG promotes angiogenesis.
NOS inhibitors,angiogenesis pathway,neg,direct,30590117,"CONCLUSION: NOS inhibitors could suppress colorectal cancer cell growth and migration, likely via suppressing the angiogenesis pathway.",True - Nitric oxide synthase (NOS) inhibitors are known to reduce the angiogenesis pathway.,Statement: True. NOS inhibitors could suppress angiogenesis pathway.
Paeoniflorin,angiogenesis,pos,direct,32542807,Paeoniflorin promotes angiogenesis and tissue regeneration in a full-thickness cutaneous wound model through the PI3K/AKT pathway.,True - Paeoniflorin has been shown to promote angiogenesis.,Statement: True. Paeoniflorin promotes angiogenesis.
indomethacin,Angiogenesis,neg,direct,10069693,"Angiogenesis was also significantly inhibited by indomethacin, but neither VEGF production nor VEGF mRNA expression was reduced.",True - Indomethacin has been shown to reduce angiogenesis.,Statement: True. Indomethacin reduces angiogenesis.
tissue kallikrein,angiogenesis,neg,direct,20180644,"Using various delivery approaches, we have demonstrated that tissue kallikrein through kinin B2 receptor signaling exhibits a wide spectrum of beneficial effects by reducing cardiac and renal injuries, restenosis and ischemic stroke, and by promoting angiogenesis and skin wound healing, independent of blood pressure reduction.",False - Tissue kallikrein is generally thought to promote angiogenesis.,"False: The context suggests that tissue kallikrein promotes angiogenesis, not reduces it."
Exosomal MMP2,angiogenesis of endothelial cells,pos,direct,31369752,Exosomal MMP2 derived from mature osteoblasts promotes angiogenesis of endothelial cells via VEGF/Erk1/2 signaling pathway.,True - Exosomal Matrix Metalloproteinase-2 (MMP2) has been shown to promote angiogenesis in endothelial cells.,Statement: True. Exosomal MMP2 promotes angiogenesis of endothelial cells.
MMP-2,angiogenesis of ECs,pos,direct,31369752,"In conclusion, the MMP-2 existing in exosomes derived from MOBs could promote the angiogenesis of ECs in vitro, which might be realized through VEGF/Erk1/2 signaling pathway.",True - MMP-2 (Matrix Metalloproteinase-2) promotes angiogenesis in endothelial cells (ECs).,Statement: True. MMP-2 promotes angiogenesis of ECs.
thiabendazole,angiogenesis,neg,direct,24400443,"Moreover, thiabendazole inhibited the angiogenesis and the migration of B16F10 cells in vitro.",True - Thiabendazole has been shown to reduce angiogenesis.,Statement: True. Thiabendazole reduces angiogenesis.
Tie2 extracellular domain,angiogenesis,neg,direct,26666854,"The Tie2 extracellular domain initially inhibited angiogenesis, and its degradation relieved inhibition of new vessel formation.","True - Tie2 extracellular domain reduces angiogenesis by acting as a ""sink"" for Angiopoietin-1 and -2, which are known promoters of angiogenesis.",Statement: True. The Tie2 extracellular domain initially inhibits angiogenesis.
hydrogel,angiogenesis,pos,direct,34813880,"The in vitro and in vivo data showed that the hydrogel was biocompatible with effective anti-infection, anti-oxidation and anti-inflammation at early stages, then further promoted angiogenesis and accelerated wound repairing.",True - Hydrogel can promote angiogenesis by acting as a scaffold for cells or by delivering angiogenic factors.,Statement: True. The hydrogel promotes angiogenesis.
extracellular maspin,angiogenesis,neg,direct,21365746,"While extracellular maspin regulates corneal stromal fibroblast adhesion and inhibits angiogenesis during wound healing in the cornea, the molecular mechanism of its extracellular functions is unclear.",True - Extracellular maspin has been shown to reduce angiogenesis.,Statement: True. Extracellular maspin reduces angiogenesis.
LA,Angiogenesis,pos,direct,27764229,Angiogenesis was induced by LA through elevation in tissue content of key mediators of this process: vascular-endothelial growth factor  and angiopoietin-2 .,Unknown - LA (not clearly defined) role in promoting angiogenesis is not well established.,True: The context supports that LA promotes angiogenesis.
hEPO,angiogenesis,pos,direct,30369141,"Conclusions: Exogenous hEPO can increase the expressions of CD31, TGF-Î²1, and phosphorylated Smad3 in acute wounds of rats, promote angiogenesis of wounds, and activate TGF-Î²1/Smad3 signal transduction pathway to promote wound healing.",True - Human erythropoietin (hEPO) has been shown to promote angiogenesis.,Statement: True. hEPO promotes angiogenesis.
Granulocyte/macrophage colony-stimulating factor treatment,angiogenesis,pos,direct,16403091,Granulocyte/macrophage colony-stimulating factor treatment of human chronic ulcers promotes angiogenesis associated with de novo vascular endothelial growth factor transcription in the ulcer bed.,True - Granulocyte/macrophage colony-stimulating factor (GM-CSF) treatment has been shown to promote angiogenesis.,Statement: True. Granulocyte/macrophage colony-stimulating factor treatment promotes angiogenesis.
Ang-1 gene transfer,angiogenesis,pos,direct,18078386,"In conclusion, our results provide strong evidence that Ang-1 gene transfer improves the delayed wound repair in diabetes by inducing angiogenesis in a VEGF-independent manner.",True - Ang-1 gene transfer has been shown to promote angiogenesis.,Statement: True. Ang-1 gene transfer
Anti-vascular endothelial growth factor  agents,angiogenesis,neg,direct,37101202,"Anti-vascular endothelial growth factor  agents can reduce angiogenesis, and anti-placental growth factor  agents can affect reactive gliosis.",True - Anti-vascular endothelial growth factor (anti-VEGF) agents reduce angiogenesis.,"True - Anti-vascular endothelial growth factor agents indeed reduce angiogenesis as their function is to inhibit the action of VEGF, which promotes angiogenesis."
miR-27b,angiogenesis,pos,direct,32170506,miR-27b promotes angiogenesis and skin repair in scalded rats through regulating VEGF-C expression.,False - miR-27b has been shown to reduce angiogenesis.,True: The context supports that miR-27b promotes angiogenesis.
miR-27b inhibitor,angiogenesis,neg,direct,32170506,"In contrast to model group, miR-27b inhibitor could significantly promote the healing of scalded skin, alleviate the pathological status of scalded, and promote the angiogenesis and proliferation .",True - miR-27b inhibitor would logically promote angiogenesis since miR-27b reduces angiogenesis.,"False - The context suggests that miR-27b inhibitor actually promotes angiogenesis, not reduces it."
PTP1B,angiogenesis,neg,inferred,32504834,"PTP1B inhibition decreases inflammation and bacterial infection at the wound site and promotes angiogenesis and tissue regeneration, thereby facilitating diabetic wound healing.",True - Protein tyrosine phosphatase 1B (PTP1B) reduces angiogenesis.,"False - The context suggests that PTP1B inhibition, not PTP1B itself, promotes angiogenesis."
hyaluronic acid,angiogenesis,pos,direct,33533237,"OBJECTIVES: In-vitro data have shown that cross-linked hyaluronic acid  enhances the proliferative and migratory properties of cells involved in periodontal wound healing/regeneration, stabilizes the blood clot, reduces the inflammatory response, and facilitates angiogenesis.",True - Hyaluronic acid has been shown to promote angiogenesis.,True - The context indicates that cross-linked hyaluronic acid facilitates angiogenesis.
GAS5,lymphangiogenesis,pos,direct,33865922,Long noncoding RNA GAS5 accelerates diabetic wound healing and promotes lymphangiogenesis via miR-217/Prox1 axis.,Unknown - The role of GAS5 in promoting lymphangiogenesis is not well established.,"True: The context supports that GAS5 promotes lymphangiogenesis, which is closely related to angiogenesis."
multifunctional dressing,angiogenesis,pos,direct,36472313,"Finally, the results of in vivo experiments showed that a multifunctional dressing could repair wounds more quickly by promoting angiogenesis and reducing the pathological areas.","True - Multifunctional dressings can promote angiogenesis through a variety of mechanisms, including delivery of angiogenic factors.",TRUE
HMPC hydrogel,angiogenesis,pos,direct,35649507,"Additionally, in vitro and in vivo experimental results showed that the HMPC hydrogel effectively promoted angiogenesis  and reduced inflammatory responses , thus rapidly repairing diabetic wounds .",True - Hydroxypropyl methylcellulose (HPMC) hydrogel promotes angiogenesis.,TRUE
Omega-3 polyunsaturated fatty acids,angiogenesis,pos,direct,29665425,Omega-3 polyunsaturated fatty acids promote angiogenesis in placenta derived mesenchymal stromal cells.,False - Omega-3 polyunsaturated fatty acids generally reduce angiogenesis.,True: The context supports that Omega-3 polyunsaturated fatty acids promote angiogenesis.
apatinib treatment,angiogenesis,neg,direct,33846786,"It was found that apatinib treatment significantly inhibited the proliferation, migration and invasion of Hep3b cells and suppressed angiogenesis in HUVECs.",True - Apatinib is a tyrosine kinase inhibitor that reduces angiogenesis.,TRUE
Neuroprotection of lipoic acid,angiogenesis,pos,direct,22917609,Neuroprotection of lipoic acid treatment promotes angiogenesis and reduces the glial scar formation after brain injury.,"False - While lipoic acid has neuroprotective properties, its specific role in promoting angiogenesis is not well established.",True: The context supports that the neuroprotection of lipoic acid treatment promotes angiogenesis.
lipoic acid,angiogenesis,neg,direct,22917609,"However, lipoic acid was able to stimulate the synthesis of glutathione, decrease cell death, promote angiogenesis and decrease the glial scar formation.","Unknown - While lipoic acid is known to have anti-inflammatory and antioxidant properties, its specific role in angiogenesis is not well defined.","False: The context supports that lipoic acid promotes, not reduces, angiogenesis."
bFGF,angiogenesis,pos,direct,10685372,"The results of in vitro studies suggest that by suppressing the cytodifferentiation of PDL cells into mineralized tissue forming cells, bFGF may play important roles in wound healing by promoting angiogenesis and inducing the growth of immature PDL cells, and may in turn accelerate periodontal regeneration.",True - Basic fibroblast growth factor (bFGF) promotes angiogenesis.,TRUE
PTH1-34,angiogenesis,pos,direct,31821371,PTH1-34 improves bone healing by promoting angiogenesis and facilitating MSCs migration and differentiation in a stabilized fracture mouse model.,"True - PTH1-34, a form of parathyroid hormone, promotes angiogenesis.",TRUE
VEGF,angiogenesis,pos,direct,22072234,We hypothesized that both VEGF and NGF induce angiogenesis and take part on the repair process.,True - VEGF (Vascular Endothelial Growth Factor) promotes angiogenesis.,TRUE
Aloesin treatment,angiogenesis,pos,direct,28478809,"Aloesin treatment accelerated wound closure rates in hairless mice by inducing angiogenesis, collagen deposition and granulation tissue formation.",True - Aloesin treatment has been shown to promote angiogenesis.,TRUE
PRF,angiogenesis,pos,direct,36113546,"CONCLUSION: In this in vivo rat model for PI, PRF accelerated skin wound healing by increasing angiogenesis in the wound.",True - Platelet-rich fibrin (PRF) promotes angiogenesis.,TRUE
CITED2,angiogenesis,neg,direct,19607804,"We tested the hypothesis that CITED2 functions in bone fracture healing by suppressing the expression of genes critical to ECM remodeling, angiogenesis and osteogenesis, importantly the matrix metalloproteinases .",True - CITED2 (Cbp/p300-interacting transactivator 2) has been reported to reduce angiogenesis.,"Unknown - The statement suggests CITED2 suppresses the expression of genes involved in angiogenesis, but this doesn't necessarily mean it directly reduces angiogenesis. More context would be needed."
"11,12-EET",angiogenesis,pos,direct,28319086,"In addition, 11,12-EET increased angiogenesis in the granulation tissues of wounds in ob/ob mice.","True - 11,12-Epoxyeicosatrienoic acid (11,12-EET) promotes angiogenesis.",TRUE
viscous hydrogel,angiogenesis,pos,direct,34794255,"Besides, the sliver-loaded viscous hydrogel has low biological toxicity and can promote re-epithelialization, collagen deposition as well as angiogenesis of wounds, which may be related to the infiltration and regression of inflammatory cells.",True - Viscous hydrogels can be designed to promote angiogenesis.,TRUE
3-Hydroxytyrosol,Angiogenesis,pos,direct,32455901,3-Hydroxytyrosol Promotes Angiogenesis In Vitro by Stimulating Endothelial Cell Migration.,"True - 3-Hydroxytyrosol, a polyphenol found in olive oil, promotes angiogenesis.",TRUE
hydrogel,wound angiogenesis,pos,direct,36299202,"Conclusions: The P311 microspheres-loaded thermosensitive chitosan hydrogel can release the encapsulated drug slowly, prolong the drug action time, and promote wound healing in rats with full-thickness skin defects by promoting wound angiogenesis and re-epithelialization.",True - Hydrogel promotes wound angiogenesis.,TRUE
Ghrelin,angiogenesis,pos,direct,22159999,Ghrelin further upregulated NF-ÎºB and VEGF and induced angiogenesis.,"True - Ghrelin, a hormone produced by the stomach, promotes angiogenesis.",TRUE
